Robbery, City
118,Whittier
118,Pensacola
117,Westminster
117,Hagerstown
117,Longview
116,Battle Creek
116,Duluth
115,Cerritos
115,Hickory
114,Buena Park
114,Montclair
114,Redlands
114,Turlock
114,Lawrence
114,Kenner
113,Santa Maria
113,Hammond
113,Columbia
113,Rock Hill
113,West Valley
112,Rosemead
112,Vacaville
112,Sanford
112,Charleston
111,La Mesa
111,Boise
111,Hyattsville
110,Burlington
110,Wilkes-Barre
110,Tyler
109,Mount Rainier
109,Hamilton Township  Mercer County
109,Lima
108,Chino
108,Monterey Park
107,Santa Cruz
107,Abilene
106,Suffolk
106,Green Bay
106,West Allis
105,Whitehall
104,Santa Fe
103,Santa Barbara
103,Bowling Green
103,Redford Township
102,Largo
101,Muskegon
101,Mansfield
100,Highland
100,Statesville
100,Scranton
100,Bryan
99,East Hartford
99,Titusville
98,Homewood
98,Hallandale
98,Panama City
98,Millville
98,Concord
98,Richardson
97,Madera
97,Valdosta
97,Las Cruces
96,Selma
95,San Gabriel
95,Muncie
95,Joplin
95,Perth Amboy
95,Goldsboro
95,Euclid
94,Malden
94,Middletown
93,Roswell
92,Chico
92,Quincy
91,Terre Haute
91,Bossier City
91,Wilson
91,Texas City
91,Lynchburg
91,Tukwila
89,Flagstaff
89,Brunswick
89,Takoma Park
89,Lindenwold
89,Elyria
89,Victoria
88,Jonesboro
88,Coachella
88,Odessa
87,Emeryville
87,Brooklyn Center
87,Sumter
87,Carrollton
87,Wauwatosa
86,Coral Springs
86,Bayonne
86,Edison Township
86,Pawtucket
85,Redondo Beach
85,Ann Arbor
85,Westland
85,West New York
84,Yuma
84,Florida City
84,Altoona
83,San Mateo
83,Cape Coral
83,Leesburg
83,Waterloo
82,Beverly Hills
82,Watsonville
82,Bloomfield
81,Hoover
81,Texarkana
81,Alameda
81,San Rafael
81,Sunnyvale
81,Holyoke
81,Rochester
81,Chapel Hill
81,Coatesville
81,Penn Hills
80,Decatur
80,Barstow
80,Redwood City
80,Davie
80,Winter Haven
80,Norcross
80,Eastpointe
80,Jackson
80,Port Huron
80,Woodbridge Township
80,Middletown
79,Newark
79,Lawrence
79,Henderson
79,Kingsport
79,Beloit
78,South San Francisco
78,Newark
78,North Lauderdale
78,Taylor
78,Clifton
78,Neptune Township
78,Pleasantville
77,Peoria
77,Bell Gardens
77,Carlsbad
77,Gainesville
77,Lafayette
77,Clinton Township
77,Hillsboro
77,Charlottesville
76,La Puente
76,Lawndale
76,West Sacramento
76,Cocoa
76,Deland
76,Ypsilanti
76,Long Branch
76,Midland
76,Bellingham
76,Bremerton
75,Burbank
75,San Marcos
75,Riverdale
75,Anderson
75,Laurel
75,Inkster
75,Cheektowaga Town
75,Texarkana
75,Danville
